substep,candidate,task_type,deadline,service,B_target,B_before,B_admitted,B_completion,B_met,C_target,C_before,C_admitted,C_completion,C_met
1,1,2,500,35.35353469848633,0,0,True,35.35353469848633,True,0,0,True,35.35353469848633,True
1,2,2,500,35.35353469848633,0,35.35353469848633,True,70.70706939697266,True,1,0,True,35.35353469848633,True
1,3,1,100,21.11111068725586,0,70.70706939697266,True,91.81818008422852,True,0,35.35353469848633,True,56.46464538574219,True
1,4,2,500,35.35353469848633,0,91.81818008422852,True,127.17171478271484,True,1,35.35353469848633,True,70.70706939697266,True
2,1,2,500,35.35353469848633,1,0,True,35.35353469848633,True,0,56.46464538574219,True,91.81818008422852,True
2,2,2,500,35.35353469848633,1,35.35353469848633,True,70.70706939697266,True,1,70.70706939697266,True,106.06060409545898,True
2,3,1,100,21.11111068725586,1,70.70706939697266,True,91.81818008422852,True,0,91.81818008422852,True,112.92929077148438,False
2,4,2,500,35.35353469848633,1,91.81818008422852,True,127.17171478271484,True,1,106.06060409545898,True,141.4141387939453,True
