trace,contrast,block_00_effect_pp,block_01_effect_pp,block_02_effect_pp,block_03_effect_pp,block_04_effect_pp,block_05_effect_pp,block_06_effect_pp,block_07_effect_pp,individual95_mean_pp,individual95_sd_pp,individual95_low_pp,individual95_high_pp,individual95_family_size,individual95_df,individual95_n_blocks,trace_family95_mean_pp,trace_family95_sd_pp,trace_family95_low_pp,trace_family95_high_pp,trace_family95_family_size,trace_family95_df,trace_family95_n_blocks,all_fifteen_family95_mean_pp,all_fifteen_family95_sd_pp,all_fifteen_family95_low_pp,all_fifteen_family95_high_pp,all_fifteen_family95_family_size,all_fifteen_family95_df,all_fifteen_family95_n_blocks
we,per_task_dla_minus_ingress_dla,5.198139761866756,4.06879302911716,3.189785708520702,3.1261922752015323,3.1450920965882005,2.579424398542571,3.6423541949052662,4.877349591004702,3.728391381968361,0.9193665494904347,2.9597817119478407,4.497001051988882,1,7,8,3.728391381968361,0.9193665494904347,2.590901270967804,4.865881492968919,5,7,8,3.728391381968361,0.9193665494904347,2.3127303136981396,5.144052450238583,15,7,8
we,dla_minus_ingress_dla,-4.273397524151136,-3.3742234342811486,-2.399259875850916,-2.4763171816572367,-2.584786205985182,-2.0284782109715707,-2.8539177685690618,-3.9783693571031478,-2.996093694821175,0.8010170721440644,-3.6657607257161886,-2.3264266639261613,1,7,8,-2.996093694821175,0.8010170721440644,-3.987155419670207,-2.005031969972143,5,7,8,-2.996093694821175,0.8010170721440644,-4.229517604667211,-1.7626697849751387,15,7,8
we,per_task_dla_minus_causal_round_robin,0.7672228509923968,0.583954742723364,0.4137419274789238,0.4202111057686011,0.41364006634447037,0.3457427828002295,0.47914176029615874,0.67983603571831,0.5129364090153068,0.1487825648944055,0.3885510719898536,0.63732174604076,1,7,8,0.5129364090153068,0.1487825648944055,0.32885455792937524,0.6970182601012384,5,7,8,0.5129364090153068,0.1487825648944055,0.2838377052663631,0.7420351127642505,15,7,8
we,per_task_dla_minus_dla_p2c,0.8003036099981102,0.6466807221111281,0.49281378481228444,0.4969264455828437,0.49471380872481063,0.42434260650516364,0.5555018920209989,0.730978514859018,0.5802826730767947,0.13222256097990512,0.46974184578613376,0.6908235003674557,1,7,8,0.5802826730767947,0.13222256097990512,0.4166897561393974,0.743875590014192,5,7,8,0.5802826730767947,0.13222256097990512,0.3766834318057434,0.783881914347846,15,7,8
we,dla_p2c_minus_causal_round_robin,-0.03308075900571339,-0.06272597938776414,-0.07907185733336064,-0.07671533981424261,-0.08107374238034026,-0.07859982370493412,-0.07636013172484013,-0.05114247914070802,-0.06734626406148791,0.01723633913271726,-0.08175620418874445,-0.05293632393423137,1,7,8,-0.06734626406148791,0.01723633913271726,-0.08867199678929344,-0.04602053133368239,5,7,8,-0.06734626406148791,0.01723633913271726,-0.09388716255645128,-0.040805365566524546,15,7,8
wd_pm,per_task_dla_minus_ingress_dla,7.001951544721933,4.204506570881136,3.4502422194812397,3.471256870403394,4.5737777388906125,4.794158775952525,4.551459927530175,2.8230505631049,4.3588005263707394,1.2679941116743207,3.298730920507727,5.418870132233752,1,7,8,4.3588005263707394,1.2679941116743207,2.789969505015984,5.927631547725495,5,7,8,4.3588005263707394,1.2679941116743207,2.4063149810916142,6.311286071649865,15,7,8
wd_pm,dla_minus_ingress_dla,-6.178402734919175,-3.3317147367730797,-2.7899547227053034,-3.04847853175319,-3.7384829700117876,-3.8559444258407183,-3.5873657530200234,-2.2208610055473628,-3.59390061007133,1.175163112019942,-4.5763615580474815,-2.6114396620951785,1,7,8,-3.59390061007133,1.175163112019942,-5.047876088596429,-2.1399251315462307,5,7,8,-3.59390061007133,1.175163112019942,-5.403442916647514,-1.7843583034951456,15,7,8
wd_pm,per_task_dla_minus_causal_round_robin,1.2759825233886772,0.5274515422554487,0.42005991005831333,0.44257133203269916,0.6081874447887969,0.6262498536710126,0.601004712606084,0.34331744094440353,0.6056030949681794,0.2892773630393768,0.36376116731338715,0.8474450226229717,1,7,8,0.6056030949681794,0.2892773630393768,0.2476934668922096,0.9635127230441493,5,7,8,0.6056030949681794,0.2892773630393768,0.16016737510900525,1.0510388148273537,15,7,8
wd_pm,per_task_dla_minus_dla_p2c,1.1717435926493778,0.5961419564469139,0.49023588627815684,0.5154350870266029,0.6655063437251414,0.6731771487536662,0.6443548677398923,0.4136545283103601,0.6462811763662639,0.23154986886372678,0.45270064159557233,0.8398617111369555,1,7,8,0.6462811763662639,0.23154986886372678,0.35979513205461433,0.9327672206779135,5,7,8,0.6462811763662639,0.23154986886372678,0.2897355364415392,1.0028268162909886,15,7,8
wd_pm,dla_p2c_minus_causal_round_robin,0.10423893073929946,-0.06869041419146527,-0.0701759762198435,-0.07286375499390374,-0.05731889893634445,-0.046927295082653586,-0.043350155133808244,-0.07033708736595656,-0.04067808139808449,0.05963512947458601,-0.09053429730293504,0.009178134506766064,1,7,8,-0.04067808139808449,0.05963512947458601,-0.11446189491966313,0.03310573212349416,5,7,8,-0.04067808139808449,0.05963512947458601,-0.13250558060959866,0.0511494178134297,15,7,8
