trace,block,fleet_seed,evaluator_seed,arm,offered,admitted,successes,attainment_pct
wd_pm,7,107,207,dla,3919696,3748331,3515428,89.68624097378981
wd_pm,7,107,207,per_task_dla,3919696,3916870,3713134,94.73015254244207
wd_pm,7,107,207,causal_round_robin,3919696,3915222,3699677,94.38683510149767
wd_pm,7,107,207,dla_p2c,3919696,3914211,3696920,94.31649801413171
ev,0,100,200,ingress_dla,2840089,2731434,2549902,89.78246808462693
ev,0,100,200,dla,2840089,2603686,2427178,85.46133589475541
ev,0,100,200,per_task_dla,2840089,2838538,2680229,94.37130315282373
ev,0,100,200,causal_round_robin,2840089,2833293,2665280,93.8449464083696
ev,0,100,200,dla_p2c,2840089,2832598,2662288,93.73959759711755
ev,1,101,201,ingress_dla,2837668,2755757,2581086,90.95799790532226
ev,1,101,201,dla,2837668,2652209,2479034,87.36166457809723
ev,1,101,201,per_task_dla,2837668,2836255,2691446,94.847106849709
ev,1,101,201,causal_round_robin,2837668,2834725,2679201,94.41559054829528
ev,1,101,201,dla_p2c,2837668,2833903,2675781,94.29506904965626
ev,2,102,202,ingress_dla,2835137,2736351,2551384,89.99155949077593
ev,2,102,202,dla,2835137,2604293,2423133,85.46793329563968
ev,2,102,202,per_task_dla,2835137,2832796,2678521,94.47589305208179
ev,2,102,202,causal_round_robin,2835137,2830406,2663270,93.9379649025779
ev,2,102,202,dla_p2c,2835137,2829172,2660092,93.8258715540025
ev,3,103,203,ingress_dla,2838084,2771070,2598794,91.56860755354668
ev,3,103,203,dla,2838084,2675625,2502864,88.18851027665143
ev,3,103,203,per_task_dla,2838084,2836260,2693590,94.90874829638587
ev,3,103,203,causal_round_robin,2838084,2835169,2682438,94.51580714312895
ev,3,103,203,dla_p2c,2838084,2834464,2679338,94.40657852269348
ev,4,104,204,ingress_dla,2836362,2720280,2531454,89.250032259634
ev,4,104,204,dla,2836362,2579547,2396143,84.47944937916951
ev,4,104,204,per_task_dla,2836362,2834205,2673068,94.24283642214922
ev,4,104,204,causal_round_robin,2836362,2830334,2656391,93.65486492908875
ev,4,104,204,dla_p2c,2836362,2829152,2653166,93.54116294041452
ev,5,105,205,ingress_dla,2839296,2787785,2619728,92.26681543593905
ev,5,105,205,dla,2839296,2714680,2545048,89.6365859706068
ev,5,105,205,per_task_dla,2839296,2837096,2696767,94.9801288770174
ev,5,105,205,causal_round_robin,2839296,2836723,2688322,94.68269599224597
ev,5,105,205,dla_p2c,2839296,2836125,2685373,94.57883221756379
ev,6,106,206,ingress_dla,2836741,2777592,2608748,91.96285455739526
ev,6,106,206,dla,2836741,2696801,2527057,89.08310628287884
ev,6,106,206,per_task_dla,2836741,2835038,2693073,94.93545586290747
ev,6,106,206,causal_round_robin,2836741,2834064,2683486,94.59749762139018
ev,6,106,206,dla_p2c,2836741,2833447,2680818,94.50344603190774
ev,7,107,207,ingress_dla,2837568,2780425,2616555,92.21118225184384
ev,7,107,207,dla,2837568,2707332,2541686,89.57269041658209
ev,7,107,207,per_task_dla,2837568,2836452,2698772,95.1086282337551
ev,7,107,207,causal_round_robin,2837568,2835750,2690014,94.79998364796897
ev,7,107,207,dla_p2c,2837568,2835191,2687486,94.71089327198503
