condition,fleet_seed,n_offered,n_admitted,deadline_attainment,v2i_gate_rejected,v2i_cap_rejected,v2i_unavailable,avg_latency_met_ms,avg_energy_j_per_task,wall_s,difference_from_fresh_pp,difference_from_ingress_pp
fresh,1,1744116,1742275,0.9402843618199707,417.0,0.0,34.0,40.726730143631116,0.5199114838118566,140.0,0.0,2.952957257430122
ingress,1,1744116,1699090,0.9107547892456694,43602.0,0.0,34.0,43.880578824044896,0.5198574808097627,173.1,-2.952957257430122,0.0
