study,block,fleet_seed,evaluator_seed,arm,reused_reference,offered,admitted,successes,attainment_pct
09_second_actor,1,101,201,per_task_dla,False,1740970,1738606,1613919,92.70228665628932
09_second_actor,1,101,201,causal_round_robin,False,1740970,1732432,1604216,92.14495367525001
09_second_actor,2,102,202,ingress_dla,False,1741855,1660743,1531696,87.93475920785599
09_second_actor,2,102,202,dla,False,1741855,1582683,1460360,83.83935517020647
09_second_actor,2,102,202,per_task_dla,False,1741855,1737591,1607027,92.25951643506491
09_second_actor,2,102,202,causal_round_robin,False,1741855,1727175,1594933,91.56519916985053
09_second_actor,3,103,203,ingress_dla,False,1744227,1690649,1575520,90.32769243911487
09_second_actor,3,103,203,dla,False,1744227,1630287,1519408,87.11067997456753
09_second_actor,3,103,203,per_task_dla,False,1744227,1742914,1633133,93.63076021641679
09_second_actor,3,103,203,causal_round_robin,False,1744227,1738218,1624746,93.1499168399526
09_second_actor,4,104,204,ingress_dla,False,1743484,1693302,1578943,90.56251735031695
09_second_actor,4,104,204,dla,False,1743484,1638428,1527315,87.60132011535524
09_second_actor,4,104,204,per_task_dla,False,1743484,1740960,1632728,93.64743238251684
09_second_actor,4,104,204,causal_round_robin,False,1743484,1736467,1624518,93.17653617698815
09_second_actor,5,105,205,ingress_dla,False,1745078,1700183,1584672,90.80808995357228
09_second_actor,5,105,205,dla,False,1745078,1645490,1533055,87.85022789812261
09_second_actor,5,105,205,per_task_dla,False,1745078,1743261,1634952,93.68933652249355
09_second_actor,5,105,205,causal_round_robin,False,1745078,1739207,1626984,93.2327380208793
09_second_actor,6,106,206,ingress_dla,False,1742095,1686732,1564465,89.80365594298819
09_second_actor,6,106,206,dla,False,1742095,1623177,1505490,86.41836409610268
09_second_actor,6,106,206,per_task_dla,False,1742095,1740291,1623540,93.19468800495954
09_second_actor,6,106,206,causal_round_robin,False,1742095,1735030,1614450,92.67290245365494
09_second_actor,7,107,207,ingress_dla,False,1744742,1673307,1550744,88.88099214668988
09_second_actor,7,107,207,dla,False,1744742,1604070,1487565,85.25988369627143
09_second_actor,7,107,207,per_task_dla,False,1744742,1740463,1618729,92.77755679636302
09_second_actor,7,107,207,causal_round_robin,False,1744742,1732098,1608181,92.1729974976243
