study,contrast,individual95_mean_pp,individual95_sd_pp,individual95_low_pp,individual95_high_pp,individual95_family_size,individual95_df,individual95_n_blocks,study_family95_mean_pp,study_family95_sd_pp,study_family95_low_pp,study_family95_high_pp,study_family95_family_size,study_family95_df,study_family95_n_blocks,all_ten_family95_mean_pp,all_ten_family95_sd_pp,all_ten_family95_low_pp,all_ten_family95_high_pp,all_ten_family95_family_size,all_ten_family95_df,all_ten_family95_n_blocks
07_two_choice,per_task_minus_two_choice,0.6488842834325474,0.09243996021219321,0.5716025427005359,0.726166024164559,1,7,8,0.6488842834325474,0.09243996021219321,0.5466681770802113,0.7511003897848836,3,7,8,0.6488842834325474,0.09243996021219321,0.5171956268205418,0.7805729400445531,10,7,8
07_two_choice,two_choice_minus_ingress,3.488012115405363,0.4345631729720786,3.124708211030914,3.8513160197798118,1,7,8,3.488012115405363,0.4345631729720786,3.0074909706173374,3.9685332601933885,3,7,8,3.488012115405363,0.4345631729720786,2.868939580860987,4.107084649949739,10,7,8
07_two_choice,two_choice_minus_round_robin,-0.01836129961034949,0.021074451139733483,-0.03597998167502979,-0.0007426175456691879,1,7,8,-0.01836129961034949,0.021074451139733483,-0.04166451538490548,0.0049419161642065,3,7,8,-0.01836129961034949,0.021074451139733483,-0.048383663889350836,0.011661064668651858,10,7,8
08_half_speed,per_task_dla_minus_ingress_dla,4.215340868119345,0.18313132517145506,4.062239248870235,4.368442487368455,1,7,8,4.215340868119345,0.18313132517145506,3.999391524110292,4.431290212128397,4,7,8,4.215340868119345,0.18313132517145506,3.9544545788993255,4.4762271573393635,10,7,8
08_half_speed,dla_minus_ingress_dla,-3.395907452258715,0.4149579635482585,-3.7428209913819184,-3.048993913135512,1,7,8,-3.395907452258715,0.4149579635482585,-3.8852278890309733,-2.906587015486457,4,7,8,-3.395907452258715,0.4149579635482585,-3.9870506834402,-2.8047642210772303,10,7,8
08_half_speed,per_task_dla_minus_causal_round_robin,0.8238624881765144,0.025540236984271082,0.8025103157142829,0.845214660638746,1,7,8,0.8238624881765144,0.025540236984271082,0.7937453172478088,0.85397965910522,4,7,8,0.8238624881765144,0.025540236984271082,0.7874782287037666,0.8602467476492622,10,7,8
08_half_speed,change_in_per_task_minus_round_robin_gap,0.19333950435431646,0.11162844907239,0.1000157854807217,0.2866632232279112,1,7,8,0.19333950435431646,0.11162844907239,0.06170669752915178,0.3249723111794811,4,7,8,0.19333950435431646,0.11162844907239,0.03431519858567639,0.35236381012295653,10,7,8
09_second_actor,per_task_dla_minus_ingress_dla,3.5389505589014316,0.4760774938237819,3.1409398137477105,3.9369613040551528,1,7,8,3.5389505589014316,0.4760774938237819,3.0125246752366035,4.06537644256626,3,7,8,3.5389505589014316,0.4760774938237819,2.8607373115033146,4.217163806299549,10,7,8
09_second_actor,dla_minus_ingress_dla,-3.440358265679123,0.3938816975497267,-3.7696516054777205,-3.1110649258805254,1,7,8,-3.440358265679123,0.3938816975497267,-3.8758955960129255,-3.0048209353453204,3,7,8,-3.440358265679123,0.3938816975497267,-4.001476547159495,-2.8792399841987506,10,7,8
09_second_actor,per_task_dla_minus_causal_round_robin,0.549706124886356,0.08296027053022696,0.4803496030590254,0.6190626467136865,1,7,8,0.549706124886356,0.08296027053022696,0.4579722490163215,0.6414400007563904,3,7,8,0.549706124886356,0.08296027053022696,0.43152209978275025,0.6678901499899617,10,7,8
