contrast,n_fleet_draws,mean_pp,sd_pp,min_pp,max_pp,ci95_low_pp,ci95_high_pp,family95_low_pp,family95_high_pp
per_task_minus_ingress,4,3.8985222313194754,0.5053808844664209,3.2861919734696556,4.523953681979862,3.0943484670538886,4.702695995585062,2.671291357288343,5.125753105350608
common_target_minus_ingress,4,-3.2322534739661783,0.5928049349822866,-3.9985872499306225,-2.5531558680729773,-4.175538411510342,-2.288968536422015,-4.671778673373711,-1.7927282745586453
per_task_minus_common_target,4,7.130775705285654,1.097324877412898,5.839347841542633,8.522540931910484,5.384686954376367,8.87686445619494,4.466110282046811,9.795441128524496
