fleet_seed,role,ingress_pct,per_task_pct,difference_pp
0,new primary draw,88.8165695400994,92.70461368395222,3.8880441438528237
1,already inspected exploratory pilot,91.07547892456694,94.02843618199707,2.9529572574301284
2,new primary draw,87.5357487690039,92.05970245098376,4.523953681979862
3,new primary draw,89.0824922195542,92.97839134552976,3.8958991259755607
4,new primary draw,90.11258425471699,93.39877622818665,3.2861919734696556
