fleet_seed,arm,rsu,executed_tasks,admitted_work_ms_per_rsu,admitted_work_share_per_rsu,mean_post_batch_workload_ms_per_rsu,p95_post_batch_workload_ms_per_rsu,maximum_post_batch_workload_ms_per_rsu,service_utilisation_per_rsu
0,per_task,0,43947,710745.0615534782,0.11103209526363468,65.80972793283286,112.05622367858886,178.87258911132812,0.06580972793283286
0,per_task,1,44214,712537.7445547581,0.11131214694537349,65.97571708968393,112.97054328918456,178.00302124023438,0.06597571708968392
0,per_task,2,43832,712082.4287669659,0.11124101783219374,65.9335582330271,112.31779823303218,186.2886505126953,0.0659335582330271
0,per_task,3,44028,712169.7827172279,0.1112546642050661,65.94164653625754,112.87858047485348,189.7068328857422,0.06594164653625753
0,per_task,4,43967,711567.6485135555,0.11116059922188139,65.88589338073024,111.70343742370603,188.25726318359375,0.06588589338073024
0,per_task,5,44002,711087.0828926563,0.11108552559747452,65.84139657036022,112.87728233337397,185.12020874023438,0.06584139657036021
0,per_task,6,44022,710133.0740878582,0.11093649101077592,65.75306242715429,111.83480911254883,187.95462036132812,0.0657530624271543
0,per_task,7,44009,711868.680136919,0.11120762617105162,65.91376667543693,112.8340560913086,185.33251953125,0.06591376667543694
0,per_task,8,44075,709066.2580201626,0.11076983375254854,65.6542831596401,112.44340744018554,189.625,0.0656542831596401
0,ingress,0,79259,1560185.3114516735,0.26497840844239073,144.46160290097748,301.05883026123036,532.6220703125,0.14446160290097748
0,ingress,1,41591,716149.5859370232,0.12162925525282862,66.3101468747192,174.21516189575195,373.4255676269531,0.0663101468747192
0,ingress,2,44368,772350.8131754398,0.13117434687549517,71.51396417043827,187.9434303283691,526.7418212890625,0.07151396417043827
0,ingress,3,34119,578006.7588367462,0.09816738428526722,53.51914433616179,151.86119461059567,418.33551025390625,0.05351914433616179
0,ingress,4,20429,337187.21294784546,0.05726712742277544,31.221038228825286,114.56244430541989,289.36456298828125,0.031221038228825288
0,ingress,5,15796,258954.5020415783,0.04398025754140979,23.9772687146178,100.48305435180663,355.4517517089844,0.0239772687146178
0,ingress,6,53305,949640.7559969425,0.16128487703935987,87.92969967795743,209.8702255249023,428.4959716796875,0.08792969967795743
0,ingress,7,9733,159812.39812994003,0.02714218278752517,14.797444268310512,77.01959037780757,277.5024719238281,0.01479744426831051
0,ingress,8,32352,555684.1404528618,0.09437616035294798,51.45223524592541,160.9684295654297,454.9351806640625,0.05145223524592541
0,common_target,0,116071,2621852.8668022156,0.48364567218914506,242.76415433353847,407.8574020385741,538.7296752929688,0.24276415433353848
0,common_target,1,85494,1637031.335301876,0.3019784712490109,151.57697549091446,268.27141418457023,489.3100280761719,0.15157697549091445
0,common_target,2,47515,795370.3071086407,0.14671967740509526,73.64539880635562,153.50969314575192,306.64056396484375,0.07364539880635562
0,common_target,3,17498,284344.9661517143,0.05245229968063644,26.328237606640215,77.58479537963865,180.93040466308594,0.026328237606640215
0,common_target,4,4986,82420.53487324715,0.015203879476112334,7.631531006782144,37.74517002105713,111.92958068847656,0.007631531006782143
0,common_target,5,0,0.0,0.0,0.0,0.0,0.0,0.0
0,common_target,6,0,0.0,0.0,0.0,0.0,0.0,0.0
0,common_target,7,0,0.0,0.0,0.0,0.0,0.0,0.0
0,common_target,8,0,0.0,0.0,0.0,0.0,0.0,0.0
2,per_task,0,50178,812956.9119081497,0.11105295555120731,75.27378812577989,117.09852218627928,195.7198486328125,0.0752737881257799
2,per_task,1,50661,815660.0989587307,0.11142222101531432,75.52408322336497,117.93795394897452,180.03097534179688,0.07552408322336497
2,per_task,2,50252,812197.4675440788,0.11094921260988853,75.20346919669045,117.02341842651367,191.42372131347656,0.07520346919669045
2,per_task,3,50465,812824.9651913643,0.11103493113606346,75.26157079864431,116.89361724853514,189.8403778076172,0.07526157079864432
2,per_task,4,50420,812626.2635116577,0.11100778774324499,75.24317254039977,117.11658859252928,184.89837646484375,0.07524317254039976
2,per_task,5,50416,813778.8702521324,0.1111652381360555,75.34989541495288,117.42139892578125,190.8135528564453,0.07534989541495288
2,per_task,6,50476,815189.7958843708,0.11135797585588773,75.48053666792534,117.155581665039,175.49752807617188,0.07548053666792534
2,per_task,7,50845,814490.6420798302,0.11126246883055614,75.41580018120783,116.69347000122067,193.85182189941406,0.07541580018120783
2,per_task,8,50484,810718.7123765945,0.11074720912178201,75.06654746033527,116.70838165283202,174.70472717285156,0.07506654746033527
2,ingress,0,86798,1743428.664266348,0.2608412337311368,161.4285800287238,315.596922302246,532.0440063476562,0.1614285800287238
2,ingress,1,46717,805599.1181533337,0.12052885912613906,74.59251100454065,183.12287139892575,367.333984375,0.07459251100454066
2,ingress,2,50066,872329.2631113529,0.13051261911280415,80.77122811054741,189.5715232849121,435.143310546875,0.08077122811054742
2,ingress,3,38004,644156.0788600445,0.0963747297317559,59.644081369682596,160.56221618652333,429.2184753417969,0.05964408136968259
2,ingress,4,24360,403314.0376315117,0.06034140272734317,37.34389236006472,125.65146408081047,401.40338134765625,0.03734389236006472
2,ingress,5,17761,289529.1717710495,0.04331760049252995,26.808256651141026,106.31461715698238,293.2301025390625,0.026808256651141026
2,ingress,6,59546,1079456.1180746555,0.16150168422044553,99.94964052222393,229.4277236938476,472.69610595703125,0.09994964052222394
2,ingress,7,10123,161798.1586034298,0.02420726019398361,14.98131099941554,77.51753044128418,311.044921875,0.01498131099941554
2,ingress,8,39774,684258.4976747036,0.10237461066386176,63.357268329660094,171.65480957031247,410.66632080078125,0.0633572683296601
2,common_target,0,124734,2932805.54618454,0.48196860939646885,271.5560690911611,429.9205276489257,537.4407348632812,0.2715560690911611
2,common_target,1,92510,1836836.785364151,0.3018603372057776,170.0774801263103,286.48510589599596,525.3018188476562,0.17007748012631027
2,common_target,2,53713,901371.1413061619,0.14812867361445695,83.46029086168166,165.0592010498047,349.3834533691406,0.08346029086168165
2,common_target,3,20016,322862.18646502495,0.05305821902842929,29.894646894909716,86.93694915771478,218.29034423828125,0.029894646894909716
