fleet_seed,ingress_dla_offered_attainment,common_target_dla_offered_attainment,per_task_dla_offered_attainment,per_task_minus_ingress,per_task_minus_common_target
1,0.720032770903,0.697935735931,0.724669503467,0.004636732564,0.026733767536
2,0.703688003748,0.683168869569,0.709555289390,0.005867285642,0.026386419821
3,0.702976483902,0.681529100810,0.708048280568,0.005071796666,0.026519179758
4,0.708874512340,0.688049020842,0.714384432093,0.005509919752,0.026335411251
