condition,fleet_seed,n_offered,n_admitted,deadline_attainment,v2i_gate_rejected,v2i_cap_rejected,v2i_unavailable,avg_latency_met_ms,avg_energy_j_per_task,wall_s,difference_from_fresh_pp,difference_from_ingress_pp
fresh,1,13076234,10594205,0.7246695034671298,1824713.0,0.0,111.0,56.659728398678425,0.47328967193459526,6517.4,0.0,0.4636732563825352
delay_100,1,13076234,10594205,0.7246695034671298,1824713.0,0.0,111.0,56.659728398678425,0.47328967193459526,6755.3,0.0,0.4636732563825352
delay_500,1,13076234,10586768,0.7246856396115273,1832150.0,0.0,111.0,56.662654140775814,0.4732899013584492,6837.9,0.0016136144397549401,0.46528687082229014
delay_1000,1,13076234,10577808,0.7245510442838512,1841110.0,0.0,111.0,56.59694931572968,0.47328928956150523,5932.2,-0.011845918327857419,0.4518273380546778
ingress,1,13076234,10522739,0.7200327709033044,1896179.0,0.0,111.0,54.74468124652627,0.47328986312114024,6085.2,-0.4636732563825352,0.0
